certificate_number,record_id,certificate_type,issue_date,issuing_office,valid_until,observed_at,source_system
XS-CRA-CERT-000029,CSR-00029,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000030,CSR-00030,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000031,CSR-00031,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000032,CSR-00032,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000033,CSR-00033,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000034,CSR-00034,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000035,CSR-00035,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000036,CSR-00036,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000037,CSR-00037,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000038,CSR-00038,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000039,CSR-00039,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000040,CSR-00040,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000041,CSR-00041,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000042,CSR-00042,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000043,CSR-00043,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000044,CSR-00044,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000045,CSR-00045,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000046,CSR-00046,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000047,CSR-00047,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000048,CSR-00048,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000049,CSR-00049,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000050,CSR-00050,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000051,CSR-00051,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000052,CSR-00052,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000053,CSR-00053,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000054,CSR-00054,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000055,CSR-00055,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000056,CSR-00056,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000057,CSR-00057,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000058,CSR-00058,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000059,CSR-00059,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000060,CSR-00060,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000061,CSR-00061,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000062,CSR-00062,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000063,CSR-00063,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000064,CSR-00064,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000065,CSR-00065,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000066,CSR-00066,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000067,CSR-00067,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000068,CSR-00068,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000069,CSR-00069,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000071,CSR-00071,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000072,CSR-00072,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000073,CSR-00073,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000074,CSR-00074,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000075,CSR-00075,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000076,CSR-00076,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000077,CSR-00077,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000078,CSR-00078,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000079,CSR-00079,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000081,CSR-00081,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000082,CSR-00082,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000083,CSR-00083,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000084,CSR-00084,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000085,CSR-00085,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000086,CSR-00086,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000087,CSR-00087,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000088,CSR-00088,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000089,CSR-00089,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000090,CSR-00090,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000091,CSR-00091,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000092,CSR-00092,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000093,CSR-00093,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000094,CSR-00094,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000095,CSR-00095,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000096,CSR-00096,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000097,CSR-00097,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000098,CSR-00098,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000099,CSR-00099,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000100,CSR-00100,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000101,CSR-00101,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000102,CSR-00102,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000103,CSR-00103,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000104,CSR-00104,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000105,CSR-00105,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000106,CSR-00106,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000107,CSR-00107,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000108,CSR-00108,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000109,CSR-00109,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000110,CSR-00110,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000111,CSR-00111,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000112,CSR-00112,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000113,CSR-00113,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000114,CSR-00114,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000115,CSR-00115,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000116,CSR-00116,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000117,CSR-00117,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000118,CSR-00118,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000119,CSR-00119,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000120,CSR-00120,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000121,CSR-00121,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000122,CSR-00122,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000123,CSR-00123,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000124,CSR-00124,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000125,CSR-00125,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000126,CSR-00126,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000127,CSR-00127,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000128,CSR-00128,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000129,CSR-00129,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000130,CSR-00130,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000131,CSR-00131,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000132,CSR-00132,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000133,CSR-00133,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000134,CSR-00134,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000135,CSR-00135,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000136,CSR-00136,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000137,CSR-00137,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000138,CSR-00138,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000139,CSR-00139,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000140,CSR-00140,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000141,CSR-00141,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000142,CSR-00142,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000143,CSR-00143,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000144,CSR-00144,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000145,CSR-00145,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000146,CSR-00146,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000147,CSR-00147,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000148,CSR-00148,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000149,CSR-00149,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000150,CSR-00150,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000151,CSR-00151,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000152,CSR-00152,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000153,CSR-00153,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000154,CSR-00154,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000155,CSR-00155,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000156,CSR-00156,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000157,CSR-00157,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000158,CSR-00158,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000159,CSR-00159,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000160,CSR-00160,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000161,CSR-00161,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000162,CSR-00162,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000163,CSR-00163,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000164,CSR-00164,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000165,CSR-00165,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000166,CSR-00166,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000167,CSR-00167,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000168,CSR-00168,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000169,CSR-00169,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000170,CSR-00170,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000171,CSR-00171,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000172,CSR-00172,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000173,CSR-00173,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000174,CSR-00174,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000175,CSR-00175,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000176,CSR-00176,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000177,CSR-00177,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000178,CSR-00178,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000179,CSR-00179,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000180,CSR-00180,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000181,CSR-00181,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000182,CSR-00182,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000183,CSR-00183,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000184,CSR-00184,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000185,CSR-00185,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000186,CSR-00186,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000187,CSR-00187,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000188,CSR-00188,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000189,CSR-00189,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000190,CSR-00190,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000191,CSR-00191,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000192,CSR-00192,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000193,CSR-00193,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000194,CSR-00194,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000195,CSR-00195,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000196,CSR-00196,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000197,CSR-00197,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000198,CSR-00198,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000199,CSR-00199,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000200,CSR-00200,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000201,CSR-00201,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000202,CSR-00202,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000203,CSR-00203,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000204,CSR-00204,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000205,CSR-00205,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000206,CSR-00206,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000207,CSR-00207,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000208,CSR-00208,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000209,CSR-00209,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000210,CSR-00210,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000211,CSR-00211,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000212,CSR-00212,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000213,CSR-00213,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000214,CSR-00214,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000215,CSR-00215,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000216,CSR-00216,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000217,CSR-00217,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
